trackingnum,borough,cd,commdist,type_br,type,priority,agencyacro,agency,need,request,explanation,sitename,address,streetsegment,streetcross1,streetcross2,supporters1,supporters2,parent_tracking_code,agyresponsecat,agyresponse,unique_id,geo_function
211202407E,2,11,311,E, ,07,DPR,846,Park maintenance and safety,"Forestry services, including street tree maintenance",Funding for additional pruners and climbers boroughwide to improve Forestry Operations.,,,"",,,,,,3,This would require a larger expense budget.,1302,GEOCODE FAILED
211202408C,2,11,311,C, ,08,DEP,826,Housing oversight and emergency programs,Other capital budget request for DEP,Provide funding to study the removal of permeable surfaces for illegal front yard parking and the amount of storm water that could be diverted from the system thereby preventing combined sewer overflows.,,,"",,,,,,8,Further study by the agency of this request is needed.,1303,GEOCODE FAILED
211202408E,2,11,311,E,site,08,DEP,826,"Park, buildings, and access improvements",Clean catch basins,Funding is requested to implement a scheduled maintenance program for catch basins located on streets that model moderate and extreme flooding on the NYC Storm Water Flood Maps.,,,"",,,,,,7,The agency will accommodate this issue within existing resources.,1304,GEOCODE FAILED
211202409C,2,11,311,C, ,09,DPR,846,NYPD programs,"Reconstruct or upgrade a park or amenity (i.e. playground, outdoor athletic field)","Funding is requested to reconstruct Bensonhurst Park basketball and handball courts in the northwest quadrant of the park, with all new water service, seating areas, reconstruction of paths, drainage and bottle filler water fountains.",Bensonhurst Park Playground,,"",,,,,,5,This project has not been funded.,1305,GEOCODE FAILED
211202409E,2,11,311,E, ,09,DSNY,827,"Park, buildings, and access improvements",Other enforcement requests,"Allocate funding for dedicated enforcement agents for the district to monitor the illegal dumping, sidewalk obstructions along the commercial corridors, and would ensure that there is adequate coverage to enforce residential and commercial routing times.",,,"",,,,,,5,"Although the Department of Sanitation supports this program, due to fiscal constraints the availability of funds is uncertain.",1306,GEOCODE FAILED
211202410C,2,11,311,C, ,10,DPR,846,Building code and zoning enforcement,"Reconstruct or upgrade a park or amenity (i.e. playground, outdoor athletic field)","Funding for the renovation of Garibaldi Playground. Reconstruct playground including drainage, sidewalks, new paving, fencing, play equipment for all ages and abilities, safety surfaces, interactive spray shower, trees, landscaping, fencing, seating, accessibility, and new electric service for comfort station.",Garibaldi Playground,,"",,,,,,5,This project has not been funded.,1307,GEOCODE FAILED
211202411C,2,11,311,C, ,11,HPD,806,Garbage collection and recycling infrastructure,Expand loan programs to rehabilitate multiple dwelling buildings,"Increase Community Development Funding for Housing Programs. Housing stock in area has deteriorated. To keep landlords from abandoning buildings, funding is needed for loans to rehabilitate their properties.",,,"",,,,,,3,Approval of this request depends on sufficient Federal/State funds.,1309,GEOCODE FAILED
212202437E,2,12,312,E, ,37,DOE,40,"Park, buildings, and access improvements",Other expense budget request for DOE,We require additional resources for early intervention and child daycare centers. Both to increase the chances of improving development delays in children and to provide child care for our working parents.,,,"",,,,,,8,Contact the Community Board Unit at OMB for information regarding this request.,1388,GEOCODE FAILED
211202412E,2,11,311,E,street,12,HPD,806,Transportation infrastructure,Expand programs for housing inspections to correct code violations,Allocate funding for HPD Housing Litigation and expand programs for housing inspections to correct code violations. Housing Litigators bring non-conforming landlords to court to advocate on behalf of tenants.,,,"",,,,,,1,The agency will accommodate this issue within existing resources.,1312,GEOCODE FAILED
211202413C,2,11,311,C, ,13,DPR,846,Garbage collection and recycling,"Reconstruct or upgrade a park or amenity (i.e. playground, outdoor athletic field)","Funding is requested for the renovation of Benson Playground including all new play equipment, safety surfaces, and total refurbishment of comfort station.",,,"",,,,,,5,This project has not been funded.,1313,GEOCODE FAILED
211202413E,2,11,311,E,site,13,NYPD,56,Economic development investments,Other NYPD programs requests,Funding is requested to enhance truck enforcement. Presently the truck enforcement unit is understaffed and cannot address the increased amount of truck traffic on our streets. Trucks strikes are common on the Belt Parkway at the 17th Avenue overpass and occur weekly underneath the 86th Street elevated train structure.,,,"",,,,,,5,"Additional NYPD resources for this project are unavailable at this time due to funding constraints. However, the program will continue to operate within current funding levels.",1314,GEOCODE FAILED
211202415E,2,11,311,E, ,15,DPR,846,Traffic and traffic flow,Other expense budget request for DPR,Increase funding for additional personnel to conduct rat abatement. With increased garbage and litter there has been an increase in the amount of rat sightings in our parks.,,,"",,,,,,5,This would require a larger expense budget.,1315,GEOCODE FAILED
211202416C,2,11,311,C, ,16,DOT,841,Transportation infrastructure,Other transportation infrastructure requests,"Relocate eastbound Belt Parkway entrance from Bay Parkway easterly. With increased population, vehicular traffic, and more bicyclists, planning needs to be initiated to allow access to east bound Belt Parkway
 to reduce bottlenecking and confusion at the intersection of Shore Parkway and Bay Parkway. Presently, vehicles cannot enter the eastbound Belt Parkway upon exiting the shopping centers on Shore Parkway.",,Shore Parkway,Shore Parkway,Bay Parkway,Bay Parkway,,,,6,"Capital funding constraints, project capacity and City-wide priorities preclude this project at this time.",1316,GEOCODE FAILED
211202416E,2,11,311,E,general,16,DOHMH,816,Street and lot cleaning,Animal and pest control requests including reducing rat and mosquito populations,Additional resources are needed to address animal and pest control requests including reducing rat populations. There has been an increase in the amount of rat sightings within the district especially along commercial corridors.,,,"",,,,,,3,DOHMH continues to increase the number of inspections performed annually.  We also continue to respond to all 311 complaints and readily participate in walk-through events requested by the community in areas of concern.  Feel free to contact us to request a walk-through.  Additional services would be contingent upon available resources.,1317,GEOCODE FAILED
211202417C,2,11,311,C,site,17,EDC,802,Transportation infrastructure,Invest in capital projects to improve access to waterfront,"Initiate study for ferry service from the Bay Parkway Landing. With increased development along the waterfront of CB 11 and neighboring waterfront communities, a study should be initiated to provide alternative transportation modes. Residents currently have a 47 minute commute. Ferry service could provide alternative transportation service especially during during emergencies, to provide economic development opportunities, reduce congestion on our roadways and provide recreational access to our waterfront.",Bay Parkway Landing,,"",,,,,,8,Further study by the agency of this request is needed.,1318,GEOCODE FAILED
403202421C,4,03,403,C, ,21,DOT,841,Park maintenance and safety,Repair or provide new street lights,Add Street Lights from Junction Boulevard to Roosevelt Avenue.,,,"",,,,,,7,Please contact the Borough Commissioner's office to discuss this request.,2940,GEOCODE FAILED
211202418C,2,11,311,C,site,18,DOT,841,"Park, buildings, and access improvements",Repair or construct new curbs or pedestrian ramps,Fund citywide concrete curbing program for commercial and multiple dwelling properties.,,,"",,,,,,6,"Funds are unavailable for this project.  We recommend this project be brought to the attention of your elected officials, i.e. Borough President, Council/Assemblymember, or State Senator.",1320,GEOCODE FAILED
211202419E,2,11,311,E, ,19,DSNY,827,Transportation infrastructure,Other cleaning requests,Allocate funding for dedicated 12AM - 8AM broom Our community has commercial and manufacturing areas that have overnight street cleaning regulations. The dedicated broom would provide cleaning services on a daily basis and could provide additional cleaning service to the commercial corridors.,,,"",,,,,,9,This program is currently funded and the Department of Sanitation recommends its continued support.,1323,GEOCODE FAILED
211202420C,2,11,311,C, ,20,DPR,846,Traffic and traffic flow,"Reconstruct or upgrade a park or amenity (i.e. playground, outdoor athletic field)",Bath Playground is a jointly operated playground that serves the community and Joseph B. Cavallaro Junior High School. Funding is needed for the complete reconstruction of the playground area with all new equipment and safety surfaces. Convert the multi-purpose play area into a synthetic turf area and reconstruct the basketball and handball courts adjacent to the school.,Bath Playground,,"",,,,,,5,This project has not been funded.,1324,GEOCODE FAILED
